,query_pocket,best_match_pocket,max_rmscore
0,9lku_GMP_X_pocket,3ds7_GNG_A_pocket,0.7985450029373169
1,9lkw_GUN_X_pocket,3ds7_GNG_A_pocket,0.8077700138092041
2,9lkc_GNG_A_pocket,6p2h_GNG_A_pocket,0.7924100160598755
3,9lkf_GMP_A_pocket,6p2h_GNG_A_pocket,0.7622249722480774
4,9v4x_9QC_A_pocket,3fo4_6GU_A_pocket,0.7465900182723999
5,9v4y_ANG_A_pocket,3rkf_DX4_A_pocket,0.7985799908638
6,9hro_TOY_A_pocket,4gpw_6HS_A_pocket,0.5960599780082703
7,9iwf_XAN_A_pocket,3rkf_DX4_A_pocket,0.7926650047302246
8,9i9w_B2R_AAA_pocket,6c8o_EQ4_A_pocket,0.5765950083732605
9,8znq_NAZ_A_pocket,8sx6_AMP_B_pocket,0.5833950042724609
10,9v4u_NPR_A_pocket,3gog_6GU_A_pocket,0.8218299746513367
11,9ljn_GUN_A_pocket,3ger_6GU_A_pocket,0.7252050042152405
12,9v50_A1LXN_A_pocket,6uc8_ANG_B_pocket,0.7595250010490417
13,9lke_HPA_A_pocket,3gog_6GU_A_pocket,0.8363050222396851
14,9iwg_XAN_A_pocket,3gog_6GU_A_pocket,0.7882599830627441
15,9ec4_CTI_A_pocket,8uiw_CTI_N_pocket,0.8858850002288818
16,9ebp_LUM_A_pocket,8uiw_CTI_N_pocket,0.7551900148391724
17,9lkv_GNG_X_pocket,3ds7_GNG_B_pocket,0.7377499938011169
18,8k7w_2ZY_A_pocket,4ts2_38E_Y_pocket,0.964739978313446
19,8t5o_TAC_A_pocket,3egz_CTC_B_pocket,0.9185900092124939
20,9mqs_5GP_A_pocket,8i7n_OJI_N_pocket,0.6718000173568726
21,9mqt_A1BNU_A_pocket,7ycg_GTP_N_pocket,0.758994996547699
22,8zau_GUN_A_pocket,6c8o_EQ4_A_pocket,0.5738049745559692
23,8ked_GUN_A_pocket,3ds7_GNG_A_pocket,0.759880006313324
24,8khh_GMP_A_pocket,3ds7_GNG_B_pocket,0.7582899928092957
25,8keb_GNG_A_pocket,3ds7_GNG_A_pocket,0.761584997177124
26,9fn2_SAH_A_pocket,5hbw_PZG_A_pocket,0.545009970664978
27,9ios_53D_A_pocket,6u8u_Q1V_A_pocket,0.5982699990272522
28,9io1_53D_A_pocket,6c8o_EQ4_A_pocket,0.5871750116348267
29,9ior_53D_A_pocket,5krg_PZG_A_pocket,0.6025050282478333
30,9iou_53D_A_pocket,6uej_SPM_B_pocket,0.6028749942779541
31,9io0_53D_A_pocket,8i44_53D_A_pocket,0.729200005531311
32,8z8q_GNG_A_pocket,6p2h_GNG_A_pocket,0.6257200241088867
33,8syk_TAC_A_pocket,3egz_CTC_B_pocket,0.8405449986457825
